C1,C2,C3
Bisection,0.5,N/A
      ,0.75,33.3333333333333
      ,0.625,20
      ,0.5625,11.1111111111111
      ,0.59375,5.26315789473684
      ,0.578125,2.7027027027027
      ,0.5703125,1.36986301369863
      ,0.56640625,0.689655172413793
      ,0.568359375,0.343642611683849
      ,0.5673828125,0.172117039586919
      ,0.56689453125,0.0861326442721792
      ,0.567138671875,0.0430477830391735
      ,0.5672607421875,0.021519259737465
      ,0.56719970703125,0.0107607876896589
      ,0.567169189453125,0.00538068334678504
      ,0.567153930664063,0.00269041405472302
      ,0.567146301269531,0.00134522512342441
      ,0.567142486572266,0.000672617085819214
      ,0.567144393920898,0.00033630741187905
      ,0.567143440246582,0.000168153988696689
      ,0.567142963409424,8.40770650378137e-05
      ,0.567143201828003,4.20385148465321e-05
      ,0.567143321037292,2.10192530051752e-05
      ,0.567143261432648,1.05096276071102e-05
      ,0.56714329123497,5.25481352742443e-06
False-Position,0.612699836780282,N/A
      ,0.563838389161074,8.6658603880995
      ,0.567170358419745,0.587472389769094
      ,0.567143306604963,0.00476983761710799
      ,0.567143290419474,2.85386246785105e-06
Fixed Point,0,N/A
      ,1,100
      ,0.367879441171442,171.828182845905
      ,0.692200627555346,46.8536394613384
      ,0.500473500563637,38.3091465933331
      ,0.606243535085597,17.4467896811512
      ,0.545395785975027,11.1566225253813
      ,0.579612335503379,5.90335081440867
      ,0.560115461361089,3.48086697962453
      ,0.571143115080177,1.93080393125982
      ,0.56487934739105,1.10886824205157
      ,0.568428725029061,0.624419119183282
      ,0.566414733146883,0.355568413799569
      ,0.567556637328283,0.201196516135472
      ,0.566908911921495,0.114255640221412
      ,0.56727623217557,0.0647515677971472
      ,0.567067898390788,0.0367387724419489
      ,0.567186050099357,0.0208312084805067
      ,0.567119040057215,0.0118158688756572
      ,0.567157044001298,0.00670077970194647
      ,0.567135490206278,0.00380046662417019
      ,0.567147714260119,0.00215535627376598
      ,0.567140781458298,0.00122241285547367
      ,0.56714471334657,0.000693277778923042
      ,0.567142483401307,0.000393189600171484
      ,0.567143748099411,0.000222994277657318
      ,0.567143030834242,0.000126469890414919
      ,0.56714343762633,7.17264912432405e-05
      ,0.567143206916914,4.06792170893003e-05
      ,0.567143337762207,2.30709389788838e-05
      ,0.567143263554175,1.30845302020281e-05
      ,0.567143305640762,7.42080288219822e-06
Newton-Raphson,0,N/A
      ,0.5,100
      ,0.566311003197218,11.7092909766624
      ,0.567143165034862,0.146728707837459
      ,0.567143290409781,2.21063919452462e-05
      ,0.567143290409784,5.08968352942999e-13
Secant,0,N/A
      ,1,N/A
      ,0.612699836780282,63.2120558828558
      ,0.563838389161074,8.6658603880995
      ,0.567170358419745,0.587472389769094
      ,0.567143306604963,0.00476983761710799
      ,0.567143290409705,2.85558499298792e-06

Methods: Bisection, False-Position, Fixed Point, Newton-Raphson, Secant, Bierge-Vieta

Number of iterations:24,5,31,5,5,0

Time:0.0067293,0.0053176,0.0027773,0.0028568,0.0011505,0
